loss,val_loss,accuracy,val_accuracy
0.588824505705234,0.5158947839116973,0.6908333333333333,0.724780701754386
0.49366717129931165,0.5126713015676673,0.7620833333333333,0.7242324561403508
0.4581655984340354,0.4301966419719266,0.79,0.8086622807017544
0.42948672867309556,0.4514849634884425,0.8108333333333333,0.8042763157894737
0.3903953660678509,0.42376809793545417,0.82625,0.8234649122807017
0.37459161643259925,0.36156141150496374,0.8395833333333333,0.8481359649122806
0.3508343974115274,0.34760115601641867,0.84375,0.8388157894736842
0.32989670680261474,0.3224569512002044,0.8595833333333334,0.8777412280701754
0.3095080759942611,0.3203339232380751,0.8754166666666666,0.8689692982456141
0.28595838247596156,0.32899970802976064,0.89375,0.8667763157894737
0.2672744829976735,0.3236767933149369,0.8983333333333333,0.8645833333333333
0.2567706685709131,0.25866762471875265,0.9066666666666666,0.9024122807017543
0.22792458468119411,0.24518321378534313,0.9270833333333334,0.9073464912280701
0.22889598905813566,0.28206477462101753,0.92,0.8859649122807017
0.20708751321341412,0.20784454865483418,0.93,0.9254385964912281
0.1990958738258316,0.2008394005605687,0.93375,0.9380482456140351
0.18041091753265873,0.26458617128005746,0.9458333333333333,0.8881578947368421
0.2252122409141075,0.18233295550958123,0.9170833333333334,0.9457236842105263
0.15881814670695568,0.16835411882178453,0.9570833333333333,0.9495614035087719
0.16044245012656708,0.19384630942825537,0.9504166666666667,0.9353070175438596
0.13664096507405724,0.16368286849769512,0.9679166666666666,0.9501096491228069
0.1266095282158765,0.1554490886552898,0.97125,0.9583333333333333
0.1368060657316591,0.15842643430102057,0.9683333333333334,0.9594298245614036
0.11108526856251336,0.14036263335778673,0.9758333333333333,0.9588815789473685
0.0960090938597622,0.13564090566737552,0.98375,0.9654605263157895
0.09732378271499109,0.13121052582576578,0.98,0.9649122807017543
0.09052238897005667,0.12158633940990936,0.9858333333333333,0.9665570175438596
0.07913910379260425,0.1177962849096668,0.9866666666666667,0.9736842105263158
0.08476913181002552,0.17807270488853877,0.9804166666666667,0.9402412280701754
0.07338239983520245,0.13202870852970136,0.9883333333333333,0.9627192982456141
0.06745141884684705,0.11400280594536961,0.9895833333333334,0.9654605263157895
0.06668727446973972,0.1072792443756504,0.98875,0.9703947368421053
0.06091873782897016,0.11210323082136738,0.9920833333333333,0.9731359649122806
0.05730579895031315,0.10007481881419379,0.9929166666666667,0.96875
0.05389463168454911,0.10372476624445971,0.99375,0.9703947368421053
0.051971413592775205,0.10147943875559325,0.99375,0.9665570175438596
0.05014634915595827,0.09669774397721409,0.99375,0.9714912280701754
0.04710596096311198,0.09420224699330249,0.9958333333333333,0.9703947368421053
0.04643789354502673,0.09791337082867316,0.9954166666666666,0.9731359649122806
0.043084108757532075,0.11097362791765175,0.9954166666666666,0.9709429824561404
0.04066501264788204,0.09313842712183855,0.99625,0.9731359649122806
0.038629789594179835,0.10502646186133445,0.99625,0.9692982456140351
0.03642191511839565,0.08930574257202059,0.9966666666666667,0.9731359649122806
0.03592231017116599,0.08776585918605843,0.99625,0.9736842105263158
0.03371430502877016,0.08743452041293996,0.9970833333333333,0.9736842105263158
0.032765115557272836,0.0931481462005945,0.9975,0.9714912280701754
0.0316506637987351,0.09648175114898894,0.9979166666666667,0.96875
0.02968296670034914,0.09860777567517447,0.9979166666666667,0.9698464912280701
0.02877849688654953,0.08398649514449914,0.9979166666666667,0.9736842105263158
0.02795867930672704,0.08674519974288153,0.9975,0.9714912280701754
